occ_code,occupation_title,observed_exposure,theoretical_exposure,human_theoretical_exposure,annual_mean_wage,total_employment,computer_use_score,physical_presence_index,customer_facing_index,education_index,task_usage_pct,frontline_origin_task_usage_pct,major_group,frontline_soc,calibrated_employment_pct,any_ai_use,log_wage,ai_access_gap,frontline_physical,frontline_customer
11-1011,Chief Executives,0.0333,0.8822222222222222,0.6211111111111112,258900.0,211230.0,4.16,2.0925,4.456666666666667,7.4725,0.391325636869709,0.0,11,0,0.139101231835079,1.0,12.464197165739629,0.8489222222222222,0.0,1.0
11-1021,General and Operations Managers,0.1378,0.9615384615384616,0.6538461538461539,129330.0,3507810.0,4.46,2.62,4.66,3.6732,0.12489951742178067,0.0,11,0,2.309997121826485,1.0,11.77012255640929,0.8237384615384615,0.0,1.0
11-1031,Legislators,0.0,0.7666666666666666,0.7666666666666666,68140.0,32460.0,,,,,0.0315521841704915,0.0,11,0,0.02137587456974229,0.0,11.129319691214958,0.7666666666666666,,
11-2011,Advertising and Promotions Managers,0.1731,0.9534883720930232,0.8372093023255813,152620.0,20630.0,4.61,2.055,4.580000000000001,5.206999999999999,0.3021678052510163,0.0,11,0,0.01358546803369635,1.0,11.935706450843623,0.7803883720930231,0.0,1.0
11-2021,Marketing Managers,0.3195,0.9375,0.9375,166410.0,368940.0,4.4,1.82,4.54,6.680499999999999,0.13066008216660047,0.0,11,0,0.24295795328899325,1.0,12.02220990171739,0.618,0.0,1.0
11-2022,Sales Managers,0.0433,0.9,0.8666666666666667,157610.0,575880.0,4.29,1.9525,4.740000000000001,5.6666,0.03796735854540481,0.0,11,0,0.3792340926439677,1.0,11.967878906169586,0.8567,0.0,1.0
11-2032,Public Relations Managers,0.2315,0.95,0.9,159420.0,72760.0,,,,,0.12339391527256637,0.0,11,0,0.047914622110118585,1.0,11.979297507981915,0.7184999999999999,,
11-2033,,,1.0,0.75,133620.0,31810.0,4.14,1.5825,4.766666666666667,5.786299999999999,0.12339391527256637,0.0,11,0,0.02094783025457493,,11.802755229479468,,0.0,1.0
11-3012,Administrative Services Managers,0.0,0.6956521739130435,0.7391304347826086,121200.0,242520.0,4.15,2.165,4.506666666666667,3.963203679632036,0.0010473754081490952,0.0,11,0,0.15970662663752003,0.0,11.70519735261735,0.6956521739130435,0.0,1.0
11-3013,Facilities Managers,0.1345,0.7646103896103895,0.637987012987013,111110.0,131400.0,3.995,2.70625,4.3950000000000005,5.195840207989601,0.262629383593388,0.0,11,0,0.08653080463537083,1.0,11.618275980578055,0.6301103896103895,0.0,0.0
